k_t,M_1_t,M_2_t,M_3_t,tau_1_t,tau_2_t,t,x_t,E_t,V_t,lambda_k_t,lambda_m_1,lambda_m_2,lambda_m_3,lambda_tau_1,lambda_tau_2,lambda_t_BAU,lambda_E_t
5.4071717,862.86,1541.11,10010.44,1.2567272,1.1854651,0.0,0.63567454,11.094178,45.814472,0.2617604,0.046702832,0.0076638293,-0.0009859217,-0.051465426,-0.054447155,0.3217601,-0.019449234
6.389754,899.8245,1557.4984,10010.915,1.2932352,1.1862742,1.0,0.695481,11.570208,47.88753,0.29681957,0.02602007,0.010759268,-0.002654029,-0.050122477,-0.047005147,0.31491515,-0.016773276
6.622734,953.91296,1576.4707,10011.43,1.3307688,1.1874886,2.0,0.7124525,11.7188425,48.542763,0.29722494,0.020229202,0.01128008,-0.003636863,-0.050882883,-0.04469069,0.30969462,-0.014578176
6.745269,1011.3535,1599.4285,10011.992,1.37609,1.1891153,3.0,0.7234033,11.823461,49.007168,0.29052588,0.017996764,0.0108647775,-0.0053440165,-0.052254077,-0.04393381,0.30555388,-0.011513999
6.8462977,1069.4753,1626.5038,10012.612,1.4275718,1.1912382,4.0,0.7335496,11.921487,49.44801,0.28072315,0.01588784,0.010973748,-0.006426638,-0.0532243,-0.044371575,0.3020377,-0.009006755
6.9361715,1127.6199,1657.5885,10013.3,1.4831338,1.1939214,5.0,0.744029,12.018923,49.888725,0.27245554,0.013733493,0.011453014,-0.0061024437,-0.054127425,-0.044541135,0.29775646,-0.006783965
7.0144386,1185.3606,1692.5211,10014.064,1.541255,1.1972052,6.0,0.7544341,12.113942,50.318924,0.263484,0.011508422,0.011444593,-0.00502865,-0.0549647,-0.044973906,0.2928403,-0.004780242
7.082905,1242.2393,1731.1089,10014.916,1.6008444,1.2011116,7.0,0.764284,12.206624,50.73835,0.25343946,0.009283637,0.011241304,-0.0039479616,-0.05565782,-0.04547091,0.28771955,-0.0035542203
7.1445365,1297.8469,1773.1267,10015.864,1.6610558,1.2056501,8.0,0.7735636,12.297476,51.14833,0.24384126,0.007596066,0.010886909,-0.0032479386,-0.055837695,-0.045887664,0.2824739,-0.002744107
7.200862,1351.8718,1818.3229,10016.917,1.721209,1.2108207,9.0,0.78276265,12.388396,51.557915,0.23447616,0.005870928,0.011485386,-0.0028849407,-0.0551698,-0.045388117,0.27632833,-0.0022927371
7.250627,1404.0635,1866.4282,10018.082,1.7807639,1.2166156,10.0,0.79163444,12.477595,51.9576,0.22476053,0.004299993,0.0122062005,-0.0026362347,-0.054129668,-0.044730388,0.26988077,-0.0018836886
7.2948694,1454.1517,1917.1627,10019.367,1.8392882,1.2230209,11.0,0.8001437,12.56498,52.347427,0.21463625,0.0028145658,0.012795212,-0.0022408166,-0.052944947,-0.043968566,0.26318994,-0.0016468538
7.3344107,1501.9237,1970.234,10020.778,1.8964068,1.230018,12.0,0.8082795,12.650161,52.727467,0.2041845,0.0013110151,0.013402995,-0.0020083766,-0.05183578,-0.04337556,0.2563811,-0.0014885119
7.3698826,1547.2175,2025.3428,10022.322,1.9518015,1.2375842,13.0,0.8161105,12.733923,53.100433,0.19372228,-0.00018587214,0.013452666,-0.0023785708,-0.0510591,-0.043005858,0.24912028,-0.001814333
7.4014196,1589.9158,2082.188,10024.003,2.00521,1.2456934,14.0,0.82356435,12.81521,53.46233,0.18312837,-0.0015619907,0.013253887,-0.0027883383,-0.050321754,-0.042696744,0.24171378,-0.0022657674
7.4297266,1629.9292,2140.4702,10025.825,2.05642,1.254317,15.0,0.8307226,12.8942175,53.813766,0.17242555,-0.0028915727,0.012943178,-0.0032005226,-0.049798626,-0.042441744,0.23428771,-0.0025683385
7.4548254,1667.2128,2199.8948,10027.793,2.105263,1.263424,16.0,0.83760804,12.97091,54.154255,0.16173905,-0.004204876,0.012507868,-0.0033952966,-0.049526975,-0.04216264,0.2268403,-0.0028180224
7.4768066,1701.7427,2260.1743,10029.909,2.1516135,1.2729822,17.0,0.8442859,13.045327,54.483112,0.15246712,-0.0053814794,0.012061491,-0.003626299,-0.049301773,-0.041716307,0.21937284,-0.0032523475
7.495479,1733.5175,2321.0325,10032.175,2.1953807,1.2829581,18.0,0.85088164,13.116052,54.796627,0.14739215,-0.0058200494,0.011530005,-0.00404108,-0.04895457,-0.04076712,0.21228379,-0.0034445417
7.5100813,1762.5482,2382.2026,10034.592,2.2365046,1.2933177,19.0,0.8571141,13.182727,55.094532,0.14213699,-0.0057733622,0.01093117,-0.0044108196,-0.048453305,-0.03971964,0.20569533,-0.0032673301
7.5223727,1788.8439,2443.431,10037.16,2.274948,1.3040266,20.0,0.8629988,13.24674,55.380436,0.13691548,-0.0058314526,0.0102799665,-0.004724382,-0.047965396,-0.038747024,0.19923927,-0.0030534347
7.533028,1812.4795,2504.474,10039.881,2.3106873,1.3150505,21.0,0.86859035,13.308309,55.65649,0.13153894,-0.0057131727,0.009577596,-0.004941148,-0.047420915,-0.037937466,0.19277126,-0.0027621412
7.5420866,1833.5574,2565.106,10042.753,2.3437347,1.326355,22.0,0.87389034,13.36748,55.92216,0.12623067,-0.0054470194,0.008984469,-0.0051359213,-0.04690288,-0.037309315,0.18635233,-0.0024948406
7.5497556,1852.186,2625.118,10045.776,2.3741343,1.3379062,23.0,0.87886363,13.423992,56.175926,0.12102561,-0.005201518,0.008385597,-0.0052632582,-0.04641101,-0.03673099,0.18006119,-0.0022330428
7.5565977,1868.4839,2684.32,10048.948,2.4019532,1.3496716,24.0,0.8835448,13.4781275,56.41903,0.11596241,-0.004984366,0.0077789174,-0.005317528,-0.045947716,-0.03619675,0.17390339,-0.0019813941
7.5627375,1882.5842,2742.5403,10052.268,2.427276,1.3616191,25.0,0.8879472,13.529929,56.651737,0.11105491,-0.0047965813,0.0071723056,-0.0053026844,-0.045510795,-0.035706613,0.16788882,-0.0017412249
7.5683193,1894.6223,2799.6255,10055.731,2.4502044,1.3737185,26.0,0.89208645,13.579489,56.87431,0.10631165,-0.004636728,0.0065660924,-0.0052220337,-0.04509966,-0.035257686,0.16202623,-0.0015116595
7.573462,1904.734,2855.4404,10059.337,2.470852,1.3859409,27.0,0.8959797,13.62691,57.08736,0.10172994,-0.004519674,0.005934256,-0.005037524,-0.04471273,-0.034859717,0.15630281,-0.0012942627
7.578247,1913.0544,2909.8677,10063.081,2.4893394,1.3982589,28.0,0.8996389,13.672262,57.291084,0.09731746,-0.0044381013,0.0052884687,-0.0047704745,-0.044350203,-0.034507133,0.15073371,-0.0010874637
7.582782,1919.7162,2962.8062,10066.959,2.5057912,1.410647,29.0,0.90307635,13.715605,57.485737,0.093086615,-0.004385095,0.004651122,-0.004448,-0.044011652,-0.03419244,0.14533335,-0.000890377
7.587165,1924.8489,3014.171,10070.969,2.5203347,1.4230813,30.0,0.90630585,13.757028,57.671772,0.089039356,-0.004361878,0.004023211,-0.004075169,-0.043697126,-0.033913955,0.14010601,-0.00070243864
7.591466,1928.5789,3063.8914,10075.105,2.5330963,1.4355394,31.0,0.90933985,13.796632,57.84956,0.08517654,-0.0043658423,0.003407705,-0.0036566658,-0.04340468,-0.033670176,0.13505411,-0.0005234794
7.595748,1931.0275,3111.9114,10079.365,2.544202,1.448001,32.0,0.9122069,13.834603,58.01985,0.08149753,-0.0044539087,0.0027870378,-0.0032238667,-0.043078814,-0.03351203,0.13019024,-0.0003641568
7.599875,1932.311,3158.1877,10083.743,2.5537755,1.4604473,33.0,0.91492254,13.870965,58.182693,0.07796317,-0.004645694,0.0021549894,-0.0027706116,-0.042751104,-0.033464458,0.12551938,-0.00020782498
7.6037664,1932.5376,3202.6892,10088.235,2.5619369,1.4728608,34.0,0.9174626,13.9055605,58.337543,0.07459361,-0.0048489743,0.0015447468,-0.0022906396,-0.042444114,-0.03344182,0.12103148,-5.4688542e-05
7.607824,1931.8083,3245.395,10092.838,2.5688007,1.4852262,35.0,0.91984934,13.938665,58.48568,0.07140599,-0.005071695,0.000954818,-0.0017805529,-0.042158272,-0.033442125,0.11671892,8.9872745e-05
7.6120496,1930.2245,3286.2944,10097.545,2.5744765,1.497529,36.0,0.922096,13.970377,58.627308,0.06843021,-0.0053056343,0.0003751237,-0.0012252276,-0.041899845,-0.03346192,0.11258285,0.00023129361
7.6164155,1927.8805,3325.3865,10102.353,2.5790699,1.5097567,37.0,0.9239952,14.000506,58.760933,0.0658136,-0.0052467845,-0.0002056905,-0.0008435071,-0.041594487,-0.03346877,0.10918648,0.0004376396
7.6237755,1924.864,3362.6777,10107.257,2.5826824,1.5218977,38.0,0.9258621,14.030899,58.895554,0.0635116,-0.005257791,-0.0007678261,-0.00038076635,-0.041312996,-0.033474166,0.105896525,0.00060527906
7.631068,1921.2882,3398.1824,10112.252,2.5854099,1.5339419,39.0,0.927615,14.059924,59.02402,0.061343458,-0.005286657,-0.0013029738,9.501644e-05,-0.04104985,-0.03349924,0.10275906,0.0007687933
7.638528,1917.2202,3431.9246,10117.334,2.5873559,1.5458801,40.0,0.9292675,14.087787,59.147247,0.05931639,-0.0053368947,-0.0018087262,0.0005859666,-0.040805828,-0.033541624,0.09976413,0.00092533906
7.646136,1912.7251,3463.9329,10122.5,2.5886095,1.5577049,41.0,0.9308254,14.114526,59.265366,0.05742202,-0.0054081515,-0.0022859517,0.0010886787,-0.040578764,-0.03360058,0.0969095,0.0010768577
7.653898,1907.863,3494.2405,10127.744,2.5892506,1.5694097,42.0,0.9321509,14.1397505,59.376774,0.05571991,-0.005164252,-0.0027183257,0.0013106341,-0.040440414,-0.033674613,0.09461385,0.0011361586
7.663933,1902.69,3522.8845,10133.062,2.5893512,1.5809889,43.0,0.9332862,14.164627,59.486652,0.054249123,-0.0045576943,-0.0031329351,0.0012135453,-0.040391974,-0.03373465,0.092888825,0.0011022188
7.676446,1897.2745,3549.9058,10138.449,2.588977,1.5924379,44.0,0.9344273,14.189905,59.598152,0.053034764,-0.004048457,-0.0035229842,0.0012093822,-0.04036035,-0.033794254,0.09120762,0.0010389229
7.6886644,1891.6777,3575.3489,10143.902,2.5881965,1.6037525,45.0,0.93550307,14.2140875,59.70474,0.051894926,-0.0035773423,-0.003886595,0.0012230963,-0.04033405,-0.033867948,0.0896183,0.0009868826
7.7008624,1885.9327,3599.2625,10149.417,2.587075,1.6149298,46.0,0.93652385,14.237392,59.80737,0.05084149,-0.0031479022,-0.004224004,0.0012596996,-0.040312495,-0.033953343,0.08811207,0.00094214466
7.7130156,1880.0724,3621.6963,10154.99,2.5856655,1.6259675,47.0,0.9374926,14.259855,59.906155,0.04986713,-0.0027581796,-0.004534417,0.0013175567,-0.040296074,-0.034050427,0.08668729,0.0009047047
7.7251186,1874.1271,3642.7,10160.618,2.5840135,1.636864,48.0,0.93841183,14.281516,60.001316,0.04896906,-0.002406543,-0.004819624,0.0013933559,-0.04028403,-0.034157794,0.08534008,0.0008761411
7.737176,1868.1248,3662.325,10166.296,2.5821586,1.6476178,49.0,0.9392859,14.302428,60.09302,0.048126146,-0.0020948756,-0.0050830897,0.0014782306,-0.040274065,-0.03426831,0.08405987,0.00085938413
7.749161,1862.091,3680.6226,10172.021,2.5801363,1.6582285,50.0,0.9401195,14.322685,60.181667,0.04727293,-0.0018395827,-0.0053351577,0.0015421775,-0.04024965,-0.03435488,0.082818136,0.0008603432
7.7610264,1856.0488,3697.644,10177.79,2.5779786,1.6686958,51.0,0.94091034,14.34222,60.267025,0.046481166,-0.0016133722,-0.005563142,0.0016198999,-0.04022984,-0.03445118,0.08164657,0.0008694421
7.7728357,1850.0189,3713.4407,10183.6,2.575714,1.6790198,52.0,0.941662,14.361091,60.349445,0.045751944,-0.0014173373,-0.0057682674,0.001709016,-0.04021286,-0.034556072,0.080543794,0.0008858688
7.784583,1844.0201,3728.0637,10189.446,2.5733693,1.6892009,53.0,0.942377,14.379361,60.429058,0.045079917,-0.0012500561,-0.005950165,0.0018091609,-0.040199883,-0.034669407,0.07950503,0.00090758264
7.796259,1838.0692,3741.5637,10195.328,2.5709677,1.6992397,54.0,0.9430571,14.397039,60.50601,0.044462495,-0.0011084564,-0.006110601,0.0019189636,-0.040190626,-0.034790143,0.078529015,0.0009361569
