k_t,M_1_t,M_2_t,M_3_t,tau_1_t,tau_2_t,t,x_t,E_t,V_t,lambda_k_t,lambda_m_1,lambda_m_2,lambda_m_3,lambda_tau_1,lambda_tau_2,lambda_t_BAU,lambda_E_t
5.4071717,862.86,1541.11,10010.44,1.2567272,1.1854651,0.0,0.4860412,8.457269,40.508087,0.7923736,0.0115258675,-0.020926207,-0.0058758813,-0.080525376,-0.08311743,0.16425656,-0.008955755
6.7338495,899.8146,1557.4984,10010.915,1.2932352,1.1862742,1.0,0.46247655,8.894902,42.771427,0.86891055,0.011944846,-0.025289342,-0.0162598,-0.08730048,-0.08281381,0.19793509,-0.010656849
7.294202,961.55347,1576.4698,10011.43,1.3307648,1.1874886,2.0,0.45615232,9.125809,43.982437,0.91131866,0.0121045355,-0.024310237,-0.012583114,-0.092433564,-0.08238463,0.21221396,-0.012895264
7.5839906,1035.7593,1600.1,10011.992,1.379259,1.1891153,3.0,0.4541952,9.271605,44.740715,0.9319223,0.0118378755,-0.022488248,-0.008462686,-0.093472704,-0.08118892,0.21918623,-0.013857641
7.7775455,1115.5985,1629.2955,10012.613,1.4396176,1.1912742,4.0,0.45350453,9.386714,45.34445,0.9423696,0.011256925,-0.02116471,-0.005869164,-0.09335814,-0.08033669,0.22354384,-0.013289512
7.933616,1198.0609,1664.3251,10013.308,1.5095661,1.1940938,5.0,0.45340455,9.492442,45.90135,0.94865894,0.010489571,-0.0204411,-0.0042961966,-0.093361765,-0.0797138,0.22609955,-0.012572953
8.07173,1281.774,1705.1814,10014.09,1.5864983,1.1976757,6.0,0.45345974,9.595644,46.446842,0.95216364,0.009512576,-0.019466955,-0.0026930883,-0.09278391,-0.07828051,0.22888462,-0.0116076805
8.199131,1365.9608,1751.7367,10014.973,1.6682847,1.2020904,7.0,0.4536977,9.697957,46.98802,0.9540932,0.008312552,-0.018302394,-0.0010097814,-0.091891706,-0.07656103,0.23168121,-0.010614293
8.318453,1450.0719,1803.7998,10015.972,1.7533252,1.2073836,8.0,0.45407444,9.799342,47.52534,0.95456725,0.0071473736,-0.017197898,0.00057891896,-0.090928614,-0.07495233,0.23427387,-0.009424161
8.431007,1533.6371,1861.1394,10017.102,1.8404316,1.2135822,9.0,0.45457536,9.899914,48.059315,0.95381224,0.0060536833,-0.01616643,0.002047558,-0.08992448,-0.07345752,0.23673065,-0.008058648
8.5376,1616.228,1923.492,10018.374,1.9286942,1.2206994,10.0,0.45513856,9.999472,48.58898,0.95201343,0.0049400283,-0.015172263,0.003472036,-0.08886513,-0.072032765,0.23905972,-0.0066130646
8.638916,1697.4493,1990.5671,10019.802,2.0173874,1.228738,11.0,0.45581412,10.097588,49.113106,0.9503325,0.0042403927,-0.013914445,0.004737856,-0.08791231,-0.07083068,0.24147165,-0.005393907
8.735365,1776.9419,2062.0518,10021.396,2.1059086,1.2376922,12.0,0.45653492,10.194513,49.631737,0.94790757,0.0035120293,-0.012667724,0.0059870463,-0.086928315,-0.06973558,0.24378131,-0.0041626007
8.827448,1854.3768,2137.6138,10023.17,2.1937437,1.24755,13.0,0.45720863,10.290709,50.14428,0.9450493,0.003105722,-0.01151992,0.0067698667,-0.08568487,-0.068838894,0.24599518,-0.0032730591
8.91571,1929.4648,2216.9053,10025.131,2.2804437,1.258293,14.0,0.45783117,10.385875,50.650906,0.94164693,0.0029860516,-0.0105083175,0.0071672285,-0.084146746,-0.06800661,0.24820785,-0.002437978
9.000527,2001.9612,2299.568,10027.29,2.365614,1.2698985,15.0,0.45853522,10.479865,51.151115,0.9380279,0.0026095435,-0.009612568,0.0074766595,-0.082679346,-0.06729858,0.25060484,-0.0015138811
9.0819435,2071.6587,2385.236,10029.655,2.4489117,1.2823392,16.0,0.45947802,10.572247,51.641735,0.9354887,0.0019934764,-0.008513874,0.007958163,-0.08157442,-0.06677275,0.25307554,-0.0011952934
9.159839,2138.374,2473.5405,10032.233,2.5300386,1.2955844,17.0,0.46069345,10.6628,52.12317,0.93244815,0.0012371354,-0.0076952255,0.008290499,-0.08062342,-0.06646782,0.25567505,-0.0009811898
9.234253,2201.9404,2564.1116,10035.031,2.6087346,1.3096005,18.0,0.46190405,10.75143,52.59585,0.9288963,0.00046787102,-0.0069652623,0.008517512,-0.07949146,-0.06601758,0.25829947,-0.0005039985
9.305838,2262.2168,2656.5793,10038.055,2.6847682,1.3243508,19.0,0.463082,10.838153,53.05985,0.924964,-0.00024199422,-0.0063404157,0.008671376,-0.07818285,-0.06544172,0.2609189,0.00016648197
